id,institution,source_group,topic,title,evidence_date,year,fact,why,url,evidence_type,importance,verification_status,evidence_class,source_authority,authority_score,implementation_evidence,confidence_score,confidence_label,status,ingested_at
E0075,EDUCAUSE,고등교육 리딩기관,Institutional Transformation,Reshaping Higher Education IT in the Age of AI: Enabling Institutional Transformation,2026-08,2026,"AI 시대 대학 IT 거버넌스는 기술구매 승인 수준을 넘어 기관 우선순위, 데이터 stewardship, 책임 있는 AI 도입과 조직 전환을 함께 다루는 전략 역량으로 확대되어야 한다고 제시합니다.",AI governance를 IT 도입 절차가 아닌 대학 전체 전략·데이터·투자 의사결정 구조로 보는 최신 근거입니다.,https://er.educause.edu/articles/2026/8/reshaping-higher-education-it-in-the-age-of-ai-enabling-institutional-transformation,섹터 전략 분석,핵심,verified,official-primary,B,2,0,93,HIGH,active,2026-08-27 01:47:09
E0111,한라대학교,국내 대학,AI Curriculum & Competencies,AI 기초교양·AI 활용 소단위전공 콘텐츠 개발 및 H-자유학기제 운영,2026-07-29,2026,"한라대 AI교육센터는 AI 기초교양·AI 활용 소단위전공 교육 콘텐츠 개발을 추진하고, 2026학년도 2학기에 AI 활용 소단위전공 학생을 포함한 전체 재학생 대상 H-자유학기제를 사업과 연계해 운영합니다.",AI 기본교육 사업이 콘텐츠 개발을 넘어 실제 학사제도와 학생 대상 운영 단계로 연결되는 L2+ 근거입니다.,https://itsoft.halla.ac.kr/notice/01.php?admin_mode=read&no=3071982,대학 공식 학사운영,핵심,verified,official-primary,C,1,1,75,MEDIUM,active,2026-08-27 01:47:09
E0032,Stanford University,해외 대학,AI in Assessment,Responsible Assessment in the AI Era,2026-07-23,2026,"Stanford Accelerator for Learning과 ETS는 최종 산출물 중심 평가가 학습을 충분히 포착하지 못할 수 있으며, 포트폴리오·형성적 피드백·대화형 평가·authentic performance task 등 더 연속적이고 풍부한 학습근거가 필요하다고 제안합니다.",평가 재설계 신호를 대학·시험기관·정책 리더가 함께 공식화한 최신 사례입니다.,https://news.stanford.edu/stories/2026/07/white-paper-responsible-student-assessments-in-the-ai-era,대학 연구·정책,핵심,verified,official-primary,C,1,0,85,HIGH,active,2026-08-27 01:47:09
E0004,OECD,국제·정책기관,AI Policy & Governance,Policies supporting responsible and systematic GenAI adoption in higher education,2026-07-17,2026,고등교육의 책임 있고 체계적인 GenAI 도입을 위한 시스템 차원의 정책 대응을 다섯 영역으로 정리합니다.,대학 단위 대응을 넘어 국가·고등교육 시스템 차원의 AI 정책 방향을 비교할 수 있습니다.,https://www.oecd.org/en/publications/policies-supporting-responsible-and-systematic-genai-adoption-in-higher-education_c4e5621f-en.html,정책보고서,핵심,verified,official-primary,A,3,0,100,HIGH,active,2026-08-27 01:47:09
E0002,한국대학교육협의회 (KCUE),국내 정책·지원기관,AI Collaboration & Ecosystem,AI 교육혁신 초광역 대학 간 공유·협력 모델 연구,2026-07-15,2026,권역을 넘어 전국 단위 대학 간 AI 교육 공유·협력 모델과 실행 방안을 연구합니다.,개별 대학을 넘어 대학 간 공동 AI 교육체계가 어떻게 논의되는지 볼 수 있습니다.,https://www.kcue.or.kr/news/sub05/sub01.php?at=view&idx=658774,정책연구,핵심,verified,official-primary,B,2,1,93,HIGH,active,2026-08-27 01:47:09
E0094,동국대학교 WISE캠퍼스,국내 대학,Institutional Transformation,AI 기본교육 사업 추진전략 공개,2026-07-15,2026,"동국대 WISE는 교육부·대교협 사업 출범식에서 비수도권 대표대학으로 AI 기본교육 사업의 비전과 핵심모델, 교육과정 개발·운영 및 확산 전략을 발표했습니다.",기관 내부 실행계획이 sector-level 공유·확산 단계로 넘어간 근거입니다.,https://wise.dongguk.ac.kr/article/wisenews/detail/520040,대학 공식 구현·확산,핵심,verified,official-primary,C,1,1,75,MEDIUM,active,2026-08-27 01:47:09
E0089,한국대학교육협의회·교육부,국내 정책·지원기관,Institutional Transformation,2026 대학 AI 기본교육과정 개발 지원사업 출범식 및 참여대학 추진계획,2026-07-14,2026,20개 참여대학 사업단이 출범했으며 서울여대와 동국대 WISE가 사업 추진 전략과 사업 계획을 발표·공유했습니다.,출범식에서 원문이 직접 뒷받침하는 범위만 유지합니다. 세부 사업요소는 E0085에서 다룹니다.,https://www.kcue.or.kr/news/sub05/sub01.php?at=view&idx=658751,사업 출범·구현,핵심,verified,official-primary,A,3,1,,,active,2026-08-27 01:47:09
E0116,한국대학교육협의회·교육부,국내 정책·지원기관,Institutional Transformation,2026 대학 AI 기본교육과정 사업 출범 및 20개 대학 공유협의체 운영,2026-07-14,2026,"대교협과 교육부는 20개 참여대학 사업단장·관계자가 참여한 출범식을 열고 대학별 추진계획을 공유했으며, 참여대학 간 공유 협의체를 운영해 AI 기본교육 확산과 대학 간 교육격차 해소를 추진한다고 밝혔습니다.",개별 대학 프로젝트를 넘어 20개 참여대학 간 공유·확산 메커니즘이 실제 운영 단계로 진입한 sector implementation 근거입니다.,https://www.kcue.or.kr/news/sub05/sub01.php?at=view&idx=658751&pagenumber=1,사업 출범·협의체,핵심,verified,official-primary,C,1,1,75,MEDIUM,active,2026-08-27 01:47:09
E0117,한국대학교육협의회·교육부,국내 정책·지원기관,Institutional Transformation,2026 대학 AI 기본교육과정 사업 최종 20개교 확정 — 동서대 포함,2026-07-14,2026,후속 절차를 거친 최종 참여대학 명단에서는 비수도권에 동서대학교가 포함되고 순천향대학교는 제외되었습니다.,4월 선정평가 결과와 7월 최종 참여대학 명단 사이의 변경을 UPDATED 이력으로 보존합니다. 순천향대가 인공지능 중심대학으로 별도 선정되면서 동서대가 최종 참여대학으로 승계된 변경 이력입니다.,https://www.kcue.or.kr/news/sub03/sub01.php?at=view&idx=2765181,최종 확정·사업 출범,핵심,verified,official-primary,A,3,1,95,HIGH,UPDATED,2026-08-27 01:47:09
E0052,QAA,고등교육 리딩기관,AI in Assessment,"The Perfect Storm: AI, assessment and a sector under pressure",2026-07-07,2026,"2023~2026 외부검토, 직원 라운드테이블, 학생 포커스그룹과 기존 데이터를 종합해 기관 내부의 AI 정책·실행 편차가 학업기준과 학생경험에 위험이 될 수 있다고 분석합니다.",좋은 정책의 존재보다 기관 내부의 일관된 실행이 새로운 품질보증 과제로 부상했음을 보여줍니다.,https://www.qaa.ac.uk/news-events/policy-and-leadership/state-of-the-nation,섹터 품질보고서,핵심,verified,official-primary,A,3,0,100,HIGH,active,2026-08-27 01:47:09
E0045,EDUCAUSE,고등교육 리딩기관,Student Experience & Success,AI and the Student Experience: Measurable Impact,2026-07,2026,"학생 생애주기 전반에서 AI가 마찰을 줄이고 의사결정과 지원을 개선할 수 있는 영역, 그리고 실제 학생경험 개선을 측정할 지표와 거버넌스 고려사항을 제시합니다.",AI 학생지원의 성과를 도입 건수가 아니라 학생경험과 결과로 측정해야 한다는 신호입니다.,https://events.educause.edu/educause-institute/leadership-series/2026/ai-and-the-student-experience,리더십 프로그램 자료,참고,verified,official-primary,B,2,0,93,HIGH,active,2026-08-27 01:47:09
E0080,TEQSA,규제·품질보증기관,AI in Assessment,Assuring quality learning in a gen AI-integrated future: The role of adaptive capabilities,2026-06-24,2026,"TEQSA의 assessment reform series 제3자료는 생성형 AI 환경에서 학습 보증과 함께 evaluative judgement, critical thinking, ethical reasoning 같은 adaptive capabilities를 개발해야 한다고 제시합니다.",평가 재설계를 단순 보안이나 AI 사용통제보다 학습 보증과 학생 역량 개발을 동시에 달성하는 문제로 확장하는 규제·품질보증 근거입니다.,https://www.teqsa.gov.au/guides-resources/resources/corporate-publications/assuring-quality-learning-gen-ai-integrated-future-role-adaptive-capabilities,규제기관 평가개혁 자료,핵심,verified,official-primary,A,3,1,100,HIGH,active,2026-08-27 01:47:09
E0074,QAA / LSE-led consortium,고등교육 리딩기관,Institutional Transformation,Beyond the digital divide: how institutional strategy and organisational knowledge shape AI-powered assessment design,2026-06-23,2026,LSE 주도 프로젝트에서 여러 대학이 같은 assessment-design AI agent를 서로 다른 플랫폼·조달·기관전략 환경에서 구현해 차이를 분석했습니다.,"AI 교육혁신의 결과가 도구뿐 아니라 institutional strategy, procurement, organisational knowledge에 좌우된다는 구현 근거입니다.",https://www.qaa.ac.uk/en/membership/benefits-of-qaa-membership/collaborative-enhancement-projects/generative-ai/using-ai-to-accelerate-innovation-in-assessment/beyond-the-digital-divide,협력 구현 프로젝트,핵심,verified,official-primary,B,2,1,93,HIGH,active,2026-08-27 01:47:09
E0046,EDUCAUSE,고등교육 리딩기관,AI in Assessment,The Assessment Debate in an AI World,2026-06-22,2026,"AI가 기존 평가의 한계를 드러내고 있으며 대안적 grading, process-oriented learning, AI literacy와 명확한 정책이 필요하다는 실무 논의를 정리합니다.",평가 재설계가 단순 기술 대응이 아니라 학습 중심 assessment 철학의 변화로 이어지는 근거를 보강합니다.,https://er.educause.edu/podcasts/educause-shop-talk/2026/the-assessment-debate-in-an-ai-world,전문가 분석,참고,verified,official-primary,B,2,0,93,HIGH,active,2026-08-27 01:47:09
E0079,Jisc,고등교육 리딩기관,Student Experience & Success,Act now: building digital capability to support success ahead of TEF 2027,2026-06-17,2026,"디지털 역량 개발을 teaching quality, learning environment, employability와 student outcomes에 연결하고 학생과 직원의 역량을 이해하고 지원하는 것이 성과 개선에 중요하다고 제시합니다.",AI·디지털 역량 투자를 학생성과와 교육품질의 측정 가능한 결과에 연결하는 섹터 근거입니다.,https://www.jisc.ac.uk/blog/act-now-building-digital-capability-as-evidence-for-tef-2027,섹터 분석,핵심,verified,official-primary,B,2,0,93,HIGH,active,2026-08-27 01:47:09
E0017,EDUCAUSE,고등교육 리딩기관,Institutional Transformation,The Current State of Play: AI in Higher Education and the Road Ahead,2026-06-16,2026,"AI가 평가와 교육과정뿐 아니라 데이터 기반, 거버넌스, 대학 전략과 조직 목적까지 재검토하게 만들고 있다고 분석합니다.",AI를 수업 도구가 아니라 대학 전체의 전략 변화로 보는 관점을 제공합니다.,https://er.educause.edu/articles/2026/6/the-current-state-of-play-ai-in-higher-education-and-the-road-ahead,섹터 분석,핵심,verified,official-primary,B,2,0,93,HIGH,active,2026-08-27 01:47:09
E0099,서울여자대학교,국내 대학,AI Curriculum & Competencies,AI 기반 사회문제 해결형 창업교육 운영,2026-06-13,2026,서울여대는 AI 창업 플랫폼을 활용해 학생들이 사회문제를 발견하고 비즈니스 모델 수립과 투자제안까지 경험하는 4회 과정의 사회문제 해결형 AI 교육을 운영했습니다.,AI 교육이 기초역량에서 실제 문제해결·프로젝트형 학습으로 연결되는 기관별 운영 근거를 보강합니다.,https://www.swu.ac.kr/swu/2109/subview.do%3Bjsessionid%3DD86CE25965FCFE5977CADEC672E4B79F.node3?enc=Zm5jdDF8QEB8JTJGYmJzJTJGc3d1JTJGMTU3JTJGMTM3MzIxJTJGYXJ0Y2xWaWV3LmRvJTNG,대학 공식 교육운영,참고,verified,official-primary,C,1,1,75,MEDIUM,active,2026-08-27 01:47:09
E0043,서울한영대학교,국내 대학,AI Policy & Governance,생성형 AI 활용 가이드라인,2026-06-12,2026,"교원과 학생이 수업·과제·학습·연구에서 생성형 AI를 책임 있게 활용하도록 개념, 윤리, 교수자 활용, 학습자 활용 원칙을 안내합니다.",국내 대학의 생성형 AI 가이드라인이 교수자와 학습자의 실제 교육활동까지 어떻게 구체화되는지 비교할 수 있습니다.,https://grad.shyu.ac.kr/fro_end/html/dep_06/6100.php?bbs_idx=2463&bbsid=notice,대학 가이드라인,참고,verified,official-primary,C,1,0,85,HIGH,active,2026-08-27 01:47:09
E0056,Birmingham City University / QAA,해외 대학,AI in Assessment,GenAI-integrated assessment framework for 2026–27,2026-06-08,2026,AI 환경에서도 학습이 보이도록 assessment validity와 학생의 핵심 역량 증명을 우선하는 GenAI-integrated assessment framework 도입 방향을 공개했습니다.,평가개혁이 실제 대학의 다음 학년도 운영 프레임워크로 전환되는 사례입니다.,https://www.qaa.ac.uk/en/news-events/blog/the-visible-reminder-of-invisible-learning,대학 평가 프레임워크,핵심,verified,official-primary,C,1,1,85,HIGH,active,2026-08-27 01:47:09
E0101,국립한밭대학교,국내 대학,Institutional Transformation,AI융합교육원 사업 전담 운영·성과관리 인력 구축,2026-06-05,2026,"국립한밭대 AI융합교육원은 AI 기본교육과정 사업의 기획·운영, 추진실적·성과관리, 프로그램 운영, 예산·행정을 담당할 연구원과 행정원을 별도로 모집했습니다.",AI 기본교육 사업이 전담조직과 운영·성과관리 기능을 갖춘 실행단계로 구체화됐음을 보여주는 L2 근거입니다.,https://hanbat.ac.kr/prog/bbsArticle/BBSMSTR_000000000050/view.do?mno=sub07_01&nttId=B000000167041Wd0sG0h,대학 공식 운영근거,핵심,verified,official-primary,C,1,1,75,MEDIUM,active,2026-08-27 01:47:09
E0038,서울대학교,국내 대학,Institutional Transformation,AI Native Campus 전환 및 전 구성원 ChatGPT Edu 도입,2026-06-02,2026,"서울대학교는 전 구성원 대상 ChatGPT Edu를 도입하고, 2026년 1월 제정한 AI 가이드라인과 함께 대학 차원의 통합 AI 활용 기반을 구축하고 있습니다.",생성형 AI 도입이 개인 도구 지원을 넘어 대학 전체의 교육·연구·행정 인프라와 전략으로 확장된 국내 사례입니다.,https://www.snu.ac.kr/snunow/press?bbsidx=170942&md=v,대학 전략,핵심,verified,official-primary,C,1,0,85,HIGH,active,2026-08-27 01:47:09
E0093,동국대학교 WISE캠퍼스,국내 대학,Institutional Transformation,AI 기본교육사업단 운영지원 조직 구축,2026-06-02,2026,"동국대 WISE는 AI 기본교육사업단의 교육과정 개발·운영, 프로그램 운영, 성과지표 관리, 예산·결과보고를 담당할 프로젝트 인력을 별도로 모집했습니다.",AI 교육사업이 선언이 아니라 별도 사업단과 성과관리 업무를 갖춘 실행조직으로 구체화됐음을 보여줍니다.,https://wise.dongguk.ac.kr/article/jobnotice/detail/519662,대학 공식 운영근거,핵심,verified,official-primary,C,1,1,75,MEDIUM,active,2026-08-27 01:47:09
E0016,EDUCAUSE,고등교육 리딩기관,AI in Assessment,The Impact of AI on Learning Assessment,2026-06-01,2026,"학습평가를 실제 설계·운영하는 교수·직원 438명의 응답을 바탕으로 AI 시대의 평가설계, 정책, 학업윤리와 AI literacy를 분석합니다.",평가 논의를 의견이 아니라 실제 현장 응답과 제도 변화로 볼 수 있습니다.,https://library.educause.edu/resources/2026/6/2026-educause-the-impact-of-ai-on-learning-assessment-report,연구보고서,핵심,verified,official-primary,B,2,1,93,HIGH,active,2026-08-27 01:47:09
E0054,Advance HE,고등교육 리딩기관,AI in Assessment,Assessment and Feedback Case Study Compendium 2026,2026-06,2026,"영국과 호주의 22개 사례를 inclusive assessment, AI-enabled authentic assessment, feedback engagement, sustainable/workload-aware assessment의 네 축으로 정리합니다.",평가 재설계 신호가 개별 기관 실험을 넘어 다수 실제 사례로 축적되고 있음을 보여줍니다.,https://advance-he.ac.uk/news-and-views/case-study-collection-assessment-and-feedback-published/,사례집,핵심,verified,official-primary,B,2,0,93,HIGH,active,2026-08-27 01:47:09
E0077,EDUCAUSE,고등교육 리딩기관,Faculty & Workforce,"2026 EDUCAUSE Workforce Report: How Teams Are Adapting to AI, External Pressures, and Strategic Change",2026-06,2026,"EDUCAUSE의 2026 workforce report는 AI를 포함한 신기술·재정·등록 압력에 대한 기관 변화가 팀 수준에서 흡수되고 있으며, 즉각적 우선과제 대응이 장기 전략 업무의 여력을 제한할 수 있다고 보고합니다.",AI 전환을 교수·학생뿐 아니라 대학 직원의 역할·업무량·전략 수행역량 변화로 추적해야 한다는 근거입니다.,https://library.educause.edu/resources/2026/6/2026-educause-workforce-report-how-teams-are-adapting-to-ai-external-pressures-and-strategic-change,섹터 조사보고서,핵심,verified,official-primary,B,2,0,93,HIGH,active,2026-08-27 01:47:09
E0070,UNESCO IESALC,고등교육 리딩기관,AI Policy & Governance,Toward Responsible Governance of Generative AI in Higher Education,2026-05-30,2026,"고등교육의 GenAI governance에서 data protection, explainability, environmental sustainability, critical AI literacy의 정책-실행 간극을 분석합니다.",선언적 AI 정책과 실제 실행 사이의 간극 자체를 추적해야 한다는 governance 근거를 보강합니다.,https://ess.iesalc.unesco.org/index.php/ess3/article/view/1204,고등교육 연구,핵심,verified,official-primary,B,2,0,93,HIGH,active,2026-08-27 01:47:09
E0091,서울여자대학교,국내 대학,Institutional Transformation,교육혁신단 AI 기본교육과정 개발 지원사업 전담인력 운영,2026-05-22,2026,"서울여대 교육혁신단은 AI교과목 개발 지원, 교수자 AI 역량 강화 프로그램 개발·운영, 온라인 교육 콘텐츠 제작, 성과지표 관리와 성과 확산을 담당하는 전임연구원 채용을 공고했습니다.",선정 사실을 넘어 사업 전담인력과 구체적 실행 기능이 확인돼 기관별 implementation L2 근거로 사용할 수 있습니다.,https://m.swu.ac.kr/bbs/swu/260/135858/artclView.do,대학 공식 운영근거,핵심,verified,official-primary,C,1,1,75,MEDIUM,active,2026-08-27 01:47:09
E0068,Jisc,고등교육 리딩기관,AI in Assessment,AI in marking and feedback pilots — initial findings,2026-05-21,2026,"영국 38개 대학·칼리지 참여 파일럿에서 AI 기반 marking·feedback 도구의 업무부담, 학업기준, 학생경험에 대한 기회와 주의점을 공동으로 탐색했습니다.",AI가 학생의 과제 작성뿐 아니라 교수자의 평가·피드백 업무에 들어가는 실제 다기관 파일럿 근거입니다.,https://www.jisc.ac.uk/news/all/new-findings-highlight-the-benefits-of-a-collaborative-approach-to-ai-in-assessment,다기관 파일럿,핵심,verified,official-primary,B,2,1,93,HIGH,active,2026-08-27 01:47:09
E0112,한라대학교,국내 대학,Institutional Transformation,AI교육센터 전담 운영·성과관리 체계,2026-05-15,2026,"한라대는 AI교육센터에 사업 기획, 실행계획, 예산, 협력, 성과지표 관리, 운영실적 점검과 자체평가를 담당하는 전담인력을 두는 운영체계를 마련했습니다.",교육과정 개발과 별개로 사업 실행과 성과관리 기능을 갖춘 전담조직이 확인됩니다.,https://www.halla.ac.kr/bbs/kr/40/208672/artclView.do,대학 공식 운영근거,핵심,verified,official-primary,C,1,1,75,MEDIUM,active,2026-08-27 01:47:09
E0049,TEQSA,고등교육 리딩기관,Academic Integrity & Trust,Academic Integrity Toolkit — 2026 revision,2026-05-08,2026,정책·벤치마킹과 계약부정 영역에 assessment design and security 및 gen AI academic integrity risk 영역을 추가했습니다.,학업윤리 대응이 AI 탐지 하나가 아니라 평가설계·보안·정책·기관문화의 통합체계로 확장되는 규제기관 사례입니다.,https://www.teqsa.gov.au/guides-resources/protecting-academic-integrity/academic-integrity-toolkit,규제기관 툴킷,핵심,verified,official-primary,A,3,0,100,HIGH,active,2026-08-27 01:47:09
E0058,TEQSA,고등교육 리딩기관,Academic Integrity & Trust,Risks to academic integrity from AI,2026-05-08,2026,"AI 생성 텍스트 탐지, AI 시대 평가설계, 교육과정에 생성형 AI를 윤리적·효과적으로 통합하는 접근을 하나의 학업윤리 체계에서 다룹니다.",AI 학업윤리를 탐지 문제로만 보지 않고 평가설계와 교육과정 통합까지 함께 보는 규제기관 구조입니다.,https://www.teqsa.gov.au/guides-resources/protecting-academic-integrity/academic-integrity-toolkit/risks-academic-integrity-ai,규제기관 툴킷,핵심,verified,official-primary,A,3,0,100,HIGH,active,2026-08-27 01:47:09
E0022,Jisc,고등교육 리딩기관,Institutional Transformation,Digital maturity assessment for UK higher education,2026-05-07,2026,"AI, 레거시 기술, 교수학습 변화와 학생 요구를 포함해 대학의 조직적 디지털 역량을 진단하고 벤치마킹하는 체계를 제시합니다.",대학이 AI를 포함한 디지털 전환 준비도를 조직 수준에서 어떻게 진단하는지 보여줍니다.,https://www.jisc.ac.uk/news/all/launching-our-digital-maturity-assessment-to-support-transformation-across-uk-higher-education,성숙도 프레임워크,참고,verified,official-primary,B,2,1,93,HIGH,active,2026-08-27 01:47:09
E0095,세종대학교,국내 대학,AI Curriculum & Competencies,AI 기본교육과정 개발 지원사업 — AX 3단계 교육과정 혁신,2026-05-04,2026,"세종대는 교육혁신처와 AX혁신원을 중심으로 AI기초교양과 AI전공심화 교육과정을 개발하고, 2년간 총 24개 교과목을 개발하는 계획을 공식 발표했습니다.",선정 사실을 넘어 구체적인 교과목 개발 규모와 대학 내 협력체계가 확인되는 L2 implementation 근거입니다.,https://pr.sejong.ac.kr/news/today/press-release.do?articleNo=866775&mode=view,대학 공식 추진계획,핵심,verified,official-primary,C,1,1,75,MEDIUM,active,2026-08-27 01:47:09
E0015,EDUCAUSE,고등교육 리딩기관,Future & Foresight,2026 EDUCAUSE Horizon Report | Teaching and Learning Edition,2026-05,2026,"향후 10년 고등교육 교수·학습에 영향을 줄 주요 트렌드와 초기 변화 신호를 정리하며, AI가 평가·교수설계·학생지원·교수-학생 관계를 재편하고 있다고 봅니다.",개별 AI 사례보다 고등교육 전체의 중장기 변화 방향을 파악하는 데 유용합니다.,https://library.educause.edu/resources/2026/5/2026-educause-horizon-report-teaching-and-learning-edition,전망보고서,핵심,verified,official-primary,B,2,0,93,HIGH,active,2026-08-27 01:47:09
