record_id,institution,group,topic,title,date,year,fact,why,url,type,importance,verification_status,source_authority,evidence_class
E0035,Harvard University,해외 대학,AI in Assessment,Designing Courses & Assignments in the Age of AI,2026 current,2026,"Harvard Bok Center는 학생의 광범위한 GenAI 사용을 전제로 과제와 시험을 다시 설계하고, 과정 중심·인간 중심의 평가와 명확한 수업정책을 강조합니다.",AI 사용 현실을 전제로 교수설계와 평가를 재구성하는 대표적인 대학 사례입니다.,https://bokcenter.harvard.edu/courses-and-assignments-in-age-of-ai,교수설계 가이드,핵심,verified,C,official-primary
E0036,Harvard University,해외 대학,AI in Assessment,Teach with Generative AI,2026 current,2026,Harvard의 대학 차원 AI teaching resources는 생성형 AI 오용 대응을 위해 human-based learning과 process-based assessment 등 평가 재설계 전략을 제시합니다.,AI 정책을 금지보다 학습설계 변화로 연결하는 대학 차원의 공식 지원체계를 볼 수 있습니다.,https://www.harvard.edu/ai/teaching-resources/,대학 AI 리소스,핵심,verified,C,official-primary
E0037,Harvard Kennedy School,해외 대학,AI-Enabled Teaching,Assessing the Quality of AI-Generated Exams: A Large-Scale Field Study,2025-08-09,2025,"미국 여러 대학 91개 수업과 약 1,700명의 학생을 대상으로 AI 생성 시험문항의 품질을 평가했으며, 연구 표본에서는 전문가 제작 표준시험 문항과 비교 가능한 성능을 보였습니다.",AI가 평가를 위협하는 측면뿐 아니라 평가 제작 자체를 지원하는 가능성도 실증적으로 보여줍니다.,https://www.hks.harvard.edu/publications/assessing-quality-ai-generated-exams-large-scale-field-study,실증연구,참고,verified,C,official-primary
E0038,서울대학교,국내 대학,Institutional Transformation,AI Native Campus 전환 및 전 구성원 ChatGPT Edu 도입,2026-06-02,2026,"서울대학교는 전 구성원 대상 ChatGPT Edu를 도입하고, 2026년 1월 제정한 AI 가이드라인과 함께 대학 차원의 통합 AI 활용 기반을 구축하고 있습니다.",생성형 AI 도입이 개인 도구 지원을 넘어 대학 전체의 교육·연구·행정 인프라와 전략으로 확장된 국내 사례입니다.,https://www.snu.ac.kr/snunow/press?bbsidx=170942&md=v,대학 전략,핵심,verified,C,official-primary
E0039,서울대학교,국내 대학,AI-Enabled Teaching,AI Summer Camp: 프로젝트 기반 생성형 AI 교육,2026-08-14,2026,서울대와 OpenAI가 공동으로 교육·멘토링·프로토타입 제작을 연계한 프로젝트 기반 AI 교육 프로그램을 운영했습니다.,AI 교육이 단순 활용법 교육에서 실제 문제해결과 서비스 구현 중심 PBL로 이동하는 국내 사례입니다.,https://www.snu.ac.kr/snunow/press?bbsidx=174020&md=v,교육 프로그램,참고,verified,C,official-primary
E0040,한국방송통신대학교,국내 대학,AI Policy & Governance,생성형 인공지능 학습자 가이드라인,2025-03-21,2025,"학습자의 책임, 교수자 지침 준수, 사실확인·수정, 출처표기와 부적절한 AI 사용의 학업부정 가능성을 명시합니다.",학생 대상 AI 사용원칙을 간결한 대학 공식 가이드로 제도화한 국내 사례입니다.,https://knou.ac.kr/knou/13203/subview.do,학생 가이드,참고,verified,C,official-primary
E0041,고려대학교,국내 대학,AI Policy & Governance,교과목별 생성형 AI 사용 여부 명시 운영,2026,2026,교수자가 생성형 AI의 교육적 장점과 부정적 영향을 함께 고려해 과제 등에서 허용 여부를 결정하고 강의계획서에 명확히 안내하도록 운영합니다.,대학 공통 원칙을 실제 교과목 단위 AI policy로 연결하는 국내 운영 사례입니다.,https://ist.korea.ac.kr/bbs/eng/898/270023/artclView.do,학사 운영,핵심,verified,C,official-primary
E0042,대구대학교,국내 대학,AI Policy & Governance,생성형 AI 활용 가이드라인 및 교수자·학습자 안내서,2026-02-25,2026,"교육·연구·행정 업무의 생성형 AI 활용 원칙을 마련하고 교수자와 학습자용 안내서를 별도로 배포했으며, 1학기 시범운영 후 2학기 전면 시행을 예고했습니다.",대학 공통원칙을 교수자·학습자 역할별 실무 안내와 시행계획까지 연결한 국내 운영 사례입니다.,https://edu.daegu.ac.kr/article/SHARE_NOTICE/detail/3007,대학 가이드라인,핵심,verified,C,official-primary
E0043,서울한영대학교,국내 대학,AI Policy & Governance,생성형 AI 활용 가이드라인,2026-06-12,2026,"교원과 학생이 수업·과제·학습·연구에서 생성형 AI를 책임 있게 활용하도록 개념, 윤리, 교수자 활용, 학습자 활용 원칙을 안내합니다.",국내 대학의 생성형 AI 가이드라인이 교수자와 학습자의 실제 교육활동까지 어떻게 구체화되는지 비교할 수 있습니다.,https://grad.shyu.ac.kr/fro_end/html/dep_06/6100.php?bbs_idx=2463&bbsid=notice,대학 가이드라인,참고,verified,C,official-primary
E0044,EDUCAUSE,고등교육 리딩기관,AI Transparency & Trust,From Prompt to Practice: A Framework for Transparent GenAI Use in Higher Education,2026-03-18,2026,"교육개발 과정의 GenAI 활용 정도를 네 단계로 구분하고, 각 단계에 맞는 내부 문서화와 학생 대상 disclosure 수준을 제안합니다.",AI 활용 여부뿐 아니라 생성형 AI가 교육콘텐츠 제작에 얼마나 개입했는지 투명하게 기록·공개하는 새로운 거버넌스 축을 보여줍니다.,https://er.educause.edu/articles/2026/3/from-prompt-to-practice-a-framework-for-transparent-genai-use-in-higher-education,실무 프레임워크,핵심,verified,B,official-primary
E0045,EDUCAUSE,고등교육 리딩기관,Student Experience & Success,AI and the Student Experience: Measurable Impact,2026-07,2026,"학생 생애주기 전반에서 AI가 마찰을 줄이고 의사결정과 지원을 개선할 수 있는 영역, 그리고 실제 학생경험 개선을 측정할 지표와 거버넌스 고려사항을 제시합니다.",AI 학생지원의 성과를 도입 건수가 아니라 학생경험과 결과로 측정해야 한다는 신호입니다.,https://events.educause.edu/educause-institute/leadership-series/2026/ai-and-the-student-experience,리더십 프로그램 자료,참고,verified,B,official-primary
E0046,EDUCAUSE,고등교육 리딩기관,AI in Assessment,The Assessment Debate in an AI World,2026-06-22,2026,"AI가 기존 평가의 한계를 드러내고 있으며 대안적 grading, process-oriented learning, AI literacy와 명확한 정책이 필요하다는 실무 논의를 정리합니다.",평가 재설계가 단순 기술 대응이 아니라 학습 중심 assessment 철학의 변화로 이어지는 근거를 보강합니다.,https://er.educause.edu/podcasts/educause-shop-talk/2026/the-assessment-debate-in-an-ai-world,전문가 분석,참고,verified,B,official-primary
E0047,TEQSA,고등교육 리딩기관,AI in Assessment,Assuring quality learning in a gen AI-integrated future,2026-06-24,2026,"생성형 AI가 내재된 환경에서 학습을 보증하면서 evaluative judgement, critical thinking, ethical reasoning 같은 adaptive capabilities를 개발하는 접근을 제시합니다.",평가 재설계가 학업윤리 방어를 넘어 실제 학습 보증과 미래역량 개발로 이동하는 강한 규제·품질보증 신호입니다.,https://www.teqsa.gov.au/guides-resources/resources/corporate-publications/assuring-quality-learning-gen-ai-integrated-future-role-adaptive-capabilities,품질보증 가이드,핵심,verified,A,official-primary
E0048,TEQSA,고등교육 리딩기관,AI in Assessment,Enacting assessment reform in a time of artificial intelligence,2025-09-24,2025,2023년 평가개혁 원칙을 실제 기관에서 구현하는 사례와 실행방안을 제시합니다.,AI 평가 논의가 원칙 제시에서 실제 implementation 단계로 이동했음을 보여줍니다.,https://www.teqsa.gov.au/guides-resources/resources/corporate-publications/enacting-assessment-reform-time-artificial-intelligence,평가개혁 가이드,핵심,verified,A,official-primary
E0049,TEQSA,고등교육 리딩기관,Academic Integrity & Trust,Academic Integrity Toolkit — 2026 revision,2026-05-08,2026,정책·벤치마킹과 계약부정 영역에 assessment design and security 및 gen AI academic integrity risk 영역을 추가했습니다.,학업윤리 대응이 AI 탐지 하나가 아니라 평가설계·보안·정책·기관문화의 통합체계로 확장되는 규제기관 사례입니다.,https://www.teqsa.gov.au/guides-resources/protecting-academic-integrity/academic-integrity-toolkit,규제기관 툴킷,핵심,verified,A,official-primary
E0050,Southern Cross University / TEQSA,해외 대학,AI in Assessment,Assessment Adaptation Model – Gen AI,2026-03-19,2026,"Design, Analyse, Act, Inform, Educate, Check, Evaluate의 7개 구성요소로 평가 생애주기 전체를 AI 시대에 맞게 조정하는 모델을 제시합니다.",평가 재설계를 단일 과제 수정이 아니라 체계적인 lifecycle 모델로 구현한 실제 대학 사례입니다.,https://www.teqsa.gov.au/guides-resources/protecting-academic-integrity/academic-integrity-toolkit/risks-academic-integrity-ai/adapting-assessment-age-generative-ai-assessment-adaptation-model,대학 평가모델,핵심,verified,C,official-primary
E0051,University of Queensland / TEQSA,해외 대학,AI in Assessment,Principles for criteria and standards in assessment for gen AI use,2026-03-19,2026,"AI 사용이 허용되는 평가에서 learning outcome, rubric, 접근성, 교수자의 AI 이해와 정기적 기준 검토 원칙을 제시합니다.",AI를 허용하는 평가에서 무엇을 실제로 채점해야 하는지까지 구체화한 대학 수준 사례입니다.,https://www.teqsa.gov.au/guides-resources/protecting-academic-integrity/academic-integrity-toolkit/risks-academic-integrity-ai/principles-criteria-and-standards-assessment-gen-ai-use,평가기준 가이드,핵심,verified,C,official-primary
E0052,QAA,고등교육 리딩기관,AI in Assessment,"The Perfect Storm: AI, assessment and a sector under pressure",2026-07-07,2026,"2023~2026 외부검토, 직원 라운드테이블, 학생 포커스그룹과 기존 데이터를 종합해 기관 내부의 AI 정책·실행 편차가 학업기준과 학생경험에 위험이 될 수 있다고 분석합니다.",좋은 정책의 존재보다 기관 내부의 일관된 실행이 새로운 품질보증 과제로 부상했음을 보여줍니다.,https://www.qaa.ac.uk/news-events/policy-and-leadership/state-of-the-nation,섹터 품질보고서,핵심,verified,A,official-primary
E0053,QAA / LSE-led consortium,고등교육 리딩기관,Institutional Transformation,Beyond the digital divide: institutional strategy and AI-powered assessment design,2026-06-23,2026,"LSE, Warwick, Queen Mary, Southampton이 동일한 assessment-design AI agent를 서로 다른 플랫폼·조달·기관전략 환경에서 구현해 조직 지식과 전략의 영향을 비교했습니다.",AI 교육혁신의 성패가 도구 자체보다 조달·플랫폼·조직전략·institutional knowledge에 좌우될 수 있음을 보여줍니다.,https://www.qaa.ac.uk/en/membership/benefits-of-qaa-membership/collaborative-enhancement-projects/generative-ai/using-ai-to-accelerate-innovation-in-assessment/beyond-the-digital-divide,협력 프로젝트,핵심,verified,B,official-primary
E0054,Advance HE,고등교육 리딩기관,AI in Assessment,Assessment and Feedback Case Study Compendium 2026,2026-06,2026,"영국과 호주의 22개 사례를 inclusive assessment, AI-enabled authentic assessment, feedback engagement, sustainable/workload-aware assessment의 네 축으로 정리합니다.",평가 재설계 신호가 개별 기관 실험을 넘어 다수 실제 사례로 축적되고 있음을 보여줍니다.,https://advance-he.ac.uk/news-and-views/case-study-collection-assessment-and-feedback-published/,사례집,핵심,verified,B,official-primary
E0055,TEQSA,고등교육 리딩기관,AI in Assessment,Assessment reform for the age of artificial intelligence,2023-11-23,2023,생성형 AI 시대 평가의 미래 방향을 위한 원칙과 제안을 제시하며 이후 TEQSA 평가개혁 시리즈의 출발점이 되었습니다.,2023 원칙 → 2025 실행 → 2026 learning assurance로 이어지는 평가개혁의 장기 흐름을 추적할 수 있습니다.,https://www.teqsa.gov.au/guides-resources/resources/corporate-publications/assessment-reform-age-artificial-intelligence,평가개혁 가이드,핵심,verified,A,official-primary
E0056,Birmingham City University / QAA,해외 대학,AI in Assessment,GenAI-integrated assessment framework for 2026–27,2026-06-08,2026,AI 환경에서도 학습이 보이도록 assessment validity와 학생의 핵심 역량 증명을 우선하는 GenAI-integrated assessment framework 도입 방향을 공개했습니다.,평가개혁이 실제 대학의 다음 학년도 운영 프레임워크로 전환되는 사례입니다.,https://www.qaa.ac.uk/en/news-events/blog/the-visible-reminder-of-invisible-learning,대학 평가 프레임워크,핵심,verified,C,official-primary
